Ruta_ID,Continente,Pais,Nombre_Ruta,Punto_1,Punto_2,Punto_3,Punto_4,Punto_5
R023,América del Sur,Perú,Ruta Centro Histórico de Lima,Plaza Mayor de Lima,Catedral de Lima,Palacio de Gobierno,Casa de la Literatura,Iglesia de San Francisco Lima
R024,América del Sur,Perú,Ruta Miraflorina,Parque del Amor,Circuito de Playas,Parque María Reiche,Parque Chino Miraflores,Malecón Cisneros
R025,América del Sur,Perú,Ruta Cusqueña,Plaza de Armas de Cusco,Qorikancha,Saqsaywaman cusco,Iglesia de San Blas,Mercado de San Pedro
R026,América del Sur,Perú,Ruta Arequipeña,Plaza de Armas de Arequipa,Monasterio de Santa Catalina,Museo Santuarios Andinos,Iglesia de la Compañía,Mirador de Yanahuara
R027,América del Sur,Argentina,Ruta Patagónica,Parque Provincial Aconcagua, Parque Aconcagua, Puente del Inca, Cacheuta mendoza, Valle de Uco Mendoza
R028,América del Sur,Brasil,Ruta Carioca,Cristo Redentor,Urca Río de Janeiro,Parque Lage,Maracaná,Playa de Copacabana
R029,América del Sur,Chile,Ruta de Santiago,Cerro San Cristóbal,Plaza de Armas,Museo de Bellas Artes,La Chascona,parque deportivo estadio nacional 
R030,América del Sur,Colombia,Ruta Andina,Plaza de Bolívar, humedal jaboque, Catedral de Sal, Guatavita, Pueblito Boyacense
R031,América del Sur,Bolivia,Ruta del Altiplano,Salar de Uyuni,Laguna Colorada,Valle de la Luna,Catedral de La Paz,Tiwanaku
R032,América del Sur,Uruguay,Ruta Costera,Casapueblo,Playa Mansa,La Mano,Fortaleza de Santa Teresa,Barra de Valizas
R033,América del Norte,México,Ruta Yucateca,Chichén Itzá,Uxmal,Cenote Ik Kil,Tulum Ruinas,Playa del Carmen
R034,América del Norte,México,Ruta Colonial,Templo Mayor,Catedral Metropolitana,Palacio de Bellas Artes,Chapultepec,Zócalo de Puebla
R035,América del Norte,México,Ruta Tapatía,Catedral de la Asunción de María Santísima,Teatro Degollado,Tlaquepaque,Basílica de Zapopan,San Juan de Dios Guadalajara
R036,América del Norte,Estados Unidos,Ruta de California,Point Vicente Park,Abalone Cove Shoreline Park, Terranea Resort, Wayfarers Chapel, Pelican Cove Park
R037,América del Norte,Estados Unidos,Ruta Noreste,Central Park,Times Square, Empire State Building, Rockefeller Center, Grand Central Terminal
R038,América del Norte,Estados Unidos,Ruta Sureña,The French Quarter,Universal Studios Orlando,Savannah Historic District,Charleston Battery,Graceland
R039,América del Norte,Estados Unidos,Ruta Washington DC,Capitolio,Casa Blanca,National Mall,Museo Smithsonian,Lincoln Memorial
R040,América del Norte,Canadá,Ruta de Toronto,CN Tower,Harbourfront,Distillery District,Royal Ontario Museum,Kensington Market
R041,América del Norte,Costa Rica,Ruta Natural,La Fortuna, Catarata La Fortuna, Butterfly Conservatory, Parque Ecológico Volcán Arenal, Plaza Deportes El castillo
R042,África,Marruecos,Ruta Imperial,Saadian Tombs, El Badi Palace,Palacio Bahía,Mezquita Kutubía,Plaza Jemaa el-Fna
R043,África,Sudáfrica,Ruta del Cabo,Bo-Kaap, V&A Waterfront, Signal Hill, Sea Point Promenade, Camps Bay Beach
R044,África,Túnez,Ruta Histórica,Anfiteatro de El Jem,Medina de Túnez,Cartago,Museo del Bardo,Sidi Bou Said
R045,África,Tanzania,Ruta Safari,Arusha,Meserani Snake Park,Mto wa Mbu,Mto Wa Mbu 23410,Tengeru
R046,Oceanía,Australia,Ruta de Sídney,Sydney Opera House, Sydney Harbour Bridge, Bondi Beach, Taronga Zoo, Royal Botanic Garden
R047,Oceanía,Australia,Ruta de Melbourne,Federation Square,Queen Victoria Market,Royal Botanic Gardens,Shrine of Remembrance, Southbank Promenade
R048,Oceanía,Nueva Zelanda,Ruta Isla Sur,Christchurch,Lyttelton,Akaroa,Little River,Governors Bay
R049,Oceanía,Nueva Zelanda,Ruta de Queenstown,Coronet Peak,Arrowtown,Lake Hayes, Gibbston Valley, Kawarau Bridge Bungy
R050,Oceanía,Fiyi,Ruta Costera,Sri Siva Subramaniya Temple, Garden of the Sleeping Giant, Sigatoka Sand Dunes, Natadola Beach,Lawai 
R051,Oceanía,Vanuatu,Ruta de Efate,Port Vila Market,Mele Cascades,Blue Lagoon,Eton Beach,Ekasup Cultural Village
